seqNo,siteCode,subTitle,subContent,sDate,eDate,groupName,contact,subDesc,subPath,subDesc2,subDesc3,mainImageT,sido,gugun,subDate,eventName,CATEGORY_NM,URL,imageUrl,EVENT_TM_INFO
11522,4,삶의 덕목과 염원을 담아,예산 10경을 담은 한복 전시회,20241201,20241201,충남문화유산콘텐츠협동조합,041-556-1988,예산향교,https://www.cchcc.info/,전국민,무료,,충청남도,예산군,"12월 1일, 15일, 27일 (3회) 9:00~18:00",삶의 덕목과 염원을 담아,,,,
11528,4,천년고도 향교사랑(전통과미래의러브스토리),"한복입기, 예절교육, 국궁, 투호, 떡메, 다도, 서예",20241202,20241202,경주향교,054-775-3624,경주 향교,,일반인,유료,,경상북도,경주시,"12월1, 2, 10, 12일(총4회)",천년고도 향교사랑(전통과미래의러브스토리),,,,
11535,4,육기예융합체험교육,"향교의 육예(육기예) 교육과정을 응용하여 유교와 사천향교, 국궁, 승마, 예절, 다례 체험을 실시",20241202,20241202,(재)경남향교재단사천향교,055-852-1702,사천향교,,"유초중고등학생, 단체",무료,,경상남도,사천시,"12월 2일, 12월3일, 12월4일, 12월6일(총4회)/9시~12시30분",육기예융합체험교육,,,,
11495,2,우리동네 근대문화유산 지도그리기,"군산시 소재 초, 중학생을 대상으로 문화유산 탐방(플로깅 포함) 후 자신들만의 근대문화유산 지도 그리기(상반기 사전(공문) 모집 완료)",20241202,20241202,군산시청,063-454-3923,군산신흥동일본식가옥 등,,학생(회당25명 내외),무료,,전라북도,군산시,"12월 2일, 3일, 5일, 6일, 9일, 12일, 13일(1일 2회 진행) / 9시~10시30분, 10시40분~12시30분",우리동네 근대문화유산 지도그리기,,,,
11525,4,어르신 창작 마당극 - 신숭겸 꿈의 이야기,지역 어르신들이 만들어 가는 마당극 교육 및 공연(신숭겸 이야기),20241202,20241202,곡성문화원,061-362-0890,"곡성문화원, 덕양서원",http://gs-culture.or.kr,65세이상 곡성주민 20명 내외,무료,,전라남도,곡성군,"12월 2일, 9일, 16일, 23일, 30일(총 5회) / 14시~16시",어르신 창작 마당극 - 신숭겸 꿈의 이야기,,,,
11536,4,우포차회아카데미 1학년(기초반)운영,생활다례 및 의식다례를 공부함,20241202,20241202,창녕향교,055-532-0217,유림회관,,등록학생,무료,,경상남도,창녕군,"12월 2일, 9일, 16일, 23일 (월) 18시~20시 (총4회)",우포차회아카데미 1학년(기초반)운영,,,,
11490,2,괴산군사 관사 속에 숨은 이야기,괴산의 역사를 엿듣고 재현하고 발견하여 손수 그림을 그려 재구성해 책으로 완성,20241202,20241202,문화학교 숲,043-832-3009,괴산군수관사,,어린이 15명 내외,무료,,충청북도,괴산군,12월 2일(총 1회)/16시~18시,괴산군사 관사 속에 숨은 이야기,,,,
11535,4,육기예융합체험교육,"향교의 육예(육기예) 교육과정을 응용하여 유교와 사천향교, 국궁, 승마, 예절, 다례 체험을 실시",20241203,20241203,(재)경남향교재단사천향교,055-852-1702,사천향교,,"유초중고등학생, 단체",무료,,경상남도,사천시,"12월 2일, 12월3일, 12월4일, 12월6일(총4회)/9시~12시30분",육기예융합체험교육,,,,
11502,2,조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,300년의 역사를 지닌 국가무형문화재 사기장 김정옥 가문의 역사와 그들이 가진 문화유산에 대해 ICT 실감콘텐츠 연계 상설 전시를 통해 효율적으로 교육 할 수있는 프로그램,20241203,20241203,㈜백산헤리티지,010-3794-5324,문경 국가무형문화재전수관,,일반인,무료,,경상북도,문경시,"12월 1일부터 12월 31일까지 매 주 화요일, 수요일, 목요일, 금요일, 토요일, 일요일 운영 (총 200회) / 09:00 ~ 18:00",조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,,,,
11523,4,우리는 아띠,외국인을 대상으로한 한국전통문화 체험 프로그램,20241203,20241203,우리는 골목대장,041-633-4978,홍주향교 및 예절관,우리는 골목대장 - Daum 카페,혜전대학교 국제교육원 학생(회당 20명 내외),유료(체험비 5천원),,충청남도,홍성군,12월3일~13일(총7회)/10:00~12:00,우리는 아띠,,,,
11501,2,찾아가는 소포농악두레,소포걸군농악 찾아가는 교육,20241203,20241203,진도소포걸군농악보존회,010-6299-8808,지산초등학교,,지역학생,강사파견,,전라남도,진도군,"12월 3일, 10일, 17일",찾아가는 소포농악두레,,,,
11517,4,답사 및 탐방(뚜벅이 장선생의 명탄서원 숨은역사 탐방),답사 및 탐방,20241203,20241203,공주이씨충절사수호위원회문중,010-4592-3942,"익산, 충남일원",,시민(회당 20명내외),무료,,충청남도,공주시,"12월 3일, 12월 6일, 12월 9일(총 3회)/08:00-18:00)",답사 및 탐방(뚜벅이 장선생의 명탄서원 숨은역사 탐방),,,,
11495,2,우리동네 근대문화유산 지도그리기,"군산시 소재 초, 중학생을 대상으로 문화유산 탐방(플로깅 포함) 후 자신들만의 근대문화유산 지도 그리기(상반기 사전(공문) 모집 완료)",20241203,20241203,군산시청,063-454-3923,군산신흥동일본식가옥 등,,학생(회당25명 내외),무료,,전라북도,군산시,"12월 2일, 3일, 5일, 6일, 9일, 12일, 13일(1일 2회 진행) / 9시~10시30분, 10시40분~12시30분",우리동네 근대문화유산 지도그리기,,,,
11521,4,가야산 자락의 선비들 내포를 품다.,학생대상 예향전 연극 및 교육 프로그램,20241203,20241203,충남문화유산콘텐츠협동조합,041-556-1988,예산향교,https://www.cchcc.info/,전국민,무료,,충청남도,예산군,"12월 3일, 4일,5일,12일(4회)10:00~11:00",가야산 자락의 선비들 내포를 품다.,,,,
11506,2,"""MY OWN MASK"" 나만의 탈",기후변화 관련 자료와 영상을 공유하고 기후변화대응 창작공연 감상과 천연재료를 이용하여 나만의 탈을 만들어봄,20241203,20241203,하회별신굿탈놀이보존회,054-854-3664,어린이집,,아동20명내외,무료,,경상북도,안동시,"12월 3일, 5일, 10일, 12일 / 10시30분~11시30분","""MY OWN MASK"" 나만의 탈",,,,
11494,2,잠방골로 떠나는 바랑여행,외국인을 대상으로한 한국전통문화 체험 프로그램,20241203,20241203,내포문화진흥원,041-633-4978,한용운선생생가지 및 스카이타워,내포문화진흥원 - Daum 카페,혜전대학교 국제교육원 학생(회당 20명 내외),유료(체험비 5천원),,충청남도,홍성군,12월3일~13일(총7회)/13:00~16:00,잠방골로 떠나는 바랑여행,,,,
11470,3,이야기여행 '범과 함께',주지스님과 함께 하는 숲체험과 다도체험,20241204,20241204,불회사,061-337-3440,불회사일원,,숲체원(9명),5000,,전라남도,나주시,12월 4일(수) 14:00~16:00,이야기여행 '범과 함께',,,,
11534,4,경전성독반,"서당식교육을 활용하여 기초경전을 가르치고, 경전 성독과 한시를 교육",20241204,20241204,(재)경남향교재단사천향교,055-852-1702,사천향교,,"일반인, 65세이상 어르신(회당 20명)",무료,,경상남도,사천시,12월4일(총1회)/14시~16시,경전성독반,,,,
11502,2,조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,300년의 역사를 지닌 국가무형문화재 사기장 김정옥 가문의 역사와 그들이 가진 문화유산에 대해 ICT 실감콘텐츠 연계 상설 전시를 통해 효율적으로 교육 할 수있는 프로그램,20241204,20241204,㈜백산헤리티지,010-3794-5324,문경 국가무형문화재전수관,,일반인,무료,,경상북도,문경시,"12월 1일부터 12월 31일까지 매 주 화요일, 수요일, 목요일, 금요일, 토요일, 일요일 운영 (총 200회) / 09:00 ~ 18:00",조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,,,,
11535,4,육기예융합체험교육,"향교의 육예(육기예) 교육과정을 응용하여 유교와 사천향교, 국궁, 승마, 예절, 다례 체험을 실시",20241204,20241204,(재)경남향교재단사천향교,055-852-1702,사천향교,,"유초중고등학생, 단체",무료,,경상남도,사천시,"12월 2일, 12월3일, 12월4일, 12월6일(총4회)/9시~12시30분",육기예융합체험교육,,,,
11494,2,잠방골로 떠나는 바랑여행,외국인을 대상으로한 한국전통문화 체험 프로그램,20241204,20241204,내포문화진흥원,041-633-4978,한용운선생생가지 및 스카이타워,내포문화진흥원 - Daum 카페,혜전대학교 국제교육원 학생(회당 20명 내외),유료(체험비 5천원),,충청남도,홍성군,12월3일~13일(총7회)/13:00~16:00,잠방골로 떠나는 바랑여행,,,,
11521,4,가야산 자락의 선비들 내포를 품다.,학생대상 예향전 연극 및 교육 프로그램,20241204,20241204,충남문화유산콘텐츠협동조합,041-556-1988,예산향교,https://www.cchcc.info/,전국민,무료,,충청남도,예산군,"12월 3일, 4일,5일,12일(4회)10:00~11:00",가야산 자락의 선비들 내포를 품다.,,,,
11523,4,우리는 아띠,외국인을 대상으로한 한국전통문화 체험 프로그램,20241204,20241204,우리는 골목대장,041-633-4978,홍주향교 및 예절관,우리는 골목대장 - Daum 카페,혜전대학교 국제교육원 학생(회당 20명 내외),유료(체험비 5천원),,충청남도,홍성군,12월3일~13일(총7회)/10:00~12:00,우리는 아띠,,,,
11494,2,잠방골로 떠나는 바랑여행,외국인을 대상으로한 한국전통문화 체험 프로그램,20241205,20241205,내포문화진흥원,041-633-4978,한용운선생생가지 및 스카이타워,내포문화진흥원 - Daum 카페,혜전대학교 국제교육원 학생(회당 20명 내외),유료(체험비 5천원),,충청남도,홍성군,12월3일~13일(총7회)/13:00~16:00,잠방골로 떠나는 바랑여행,,,,
11539,4,주역반 강좌운영,주역공부를 함,20241205,20241205,창녕향교,055-532-0217,유림회관,,일반인,무료,,경상남도,창녕군,"12월 5일, 12일, 19일 (목) 10시~12시 (총3회)",주역반 강좌운영,,,,
11502,2,조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,300년의 역사를 지닌 국가무형문화재 사기장 김정옥 가문의 역사와 그들이 가진 문화유산에 대해 ICT 실감콘텐츠 연계 상설 전시를 통해 효율적으로 교육 할 수있는 프로그램,20241205,20241205,㈜백산헤리티지,010-3794-5324,문경 국가무형문화재전수관,,일반인,무료,,경상북도,문경시,"12월 1일부터 12월 31일까지 매 주 화요일, 수요일, 목요일, 금요일, 토요일, 일요일 운영 (총 200회) / 09:00 ~ 18:00",조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,,,,
11538,4,우포차회아카데미 사범반운영,가야다법을 공부함,20241205,20241205,창녕향교,055-532-0217,유림회관,,등록학생,무료,,경상남도,창녕군,"12월 5일, 12일, 19일 (목) 19시~21시 (총3회)",우포차회아카데미 사범반운영,,,,
11537,4,우포차회아카데미 2학년(수련반)운영,접빈다례를 공부함,20241205,20241205,창녕향교,055-532-0217,유림회관,,등록학생,무료,,경상남도,창녕군,"12월 5일, 12일, 19일 (목) 18시~20시 (총3회)",우포차회아카데미 2학년(수련반)운영,,,,
11508,4,선비들의 문화 나들이,"향교 서원에서 예술과 함께 보내는 문화향유 프로그램/목요생활공예, 금요캘리그라피,토요선비들의문화나들이",20241205,20241205,통합문화예술교육바로,070-8065-4166,구강서원,cafe.naver.com/artbaro,"65세 이상 어르신,장애인, 다문화가정,임산부,직장 근로자,경력단절여성 등(회당15명내외)",무료,,울산광역시,중구,"12월5일(목요일), 12월7일, 12월14일, 12월21일(토요일)/(총4회)/10시~12시",선비들의 문화 나들이,,,,
11495,2,우리동네 근대문화유산 지도그리기,"군산시 소재 초, 중학생을 대상으로 문화유산 탐방(플로깅 포함) 후 자신들만의 근대문화유산 지도 그리기(상반기 사전(공문) 모집 완료)",20241205,20241205,군산시청,063-454-3923,군산신흥동일본식가옥 등,,학생(회당25명 내외),무료,,전라북도,군산시,"12월 2일, 3일, 5일, 6일, 9일, 12일, 13일(1일 2회 진행) / 9시~10시30분, 10시40분~12시30분",우리동네 근대문화유산 지도그리기,,,,
11523,4,우리는 아띠,외국인을 대상으로한 한국전통문화 체험 프로그램,20241205,20241205,우리는 골목대장,041-633-4978,홍주향교 및 예절관,우리는 골목대장 - Daum 카페,혜전대학교 국제교육원 학생(회당 20명 내외),유료(체험비 5천원),,충청남도,홍성군,12월3일~13일(총7회)/10:00~12:00,우리는 아띠,,,,
11506,2,"""MY OWN MASK"" 나만의 탈",기후변화 관련 자료와 영상을 공유하고 기후변화대응 창작공연 감상과 천연재료를 이용하여 나만의 탈을 만들어봄,20241205,20241205,하회별신굿탈놀이보존회,054-854-3664,어린이집,,아동20명내외,무료,,경상북도,안동시,"12월 3일, 5일, 10일, 12일 / 10시30분~11시30분","""MY OWN MASK"" 나만의 탈",,,,
11521,4,가야산 자락의 선비들 내포를 품다.,학생대상 예향전 연극 및 교육 프로그램,20241205,20241205,충남문화유산콘텐츠협동조합,041-556-1988,예산향교,https://www.cchcc.info/,전국민,무료,,충청남도,예산군,"12월 3일, 4일,5일,12일(4회)10:00~11:00",가야산 자락의 선비들 내포를 품다.,,,,
11495,2,우리동네 근대문화유산 지도그리기,"군산시 소재 초, 중학생을 대상으로 문화유산 탐방(플로깅 포함) 후 자신들만의 근대문화유산 지도 그리기(상반기 사전(공문) 모집 완료)",20241206,20241206,군산시청,063-454-3923,군산신흥동일본식가옥 등,,학생(회당25명 내외),무료,,전라북도,군산시,"12월 2일, 3일, 5일, 6일, 9일, 12일, 13일(1일 2회 진행) / 9시~10시30분, 10시40분~12시30분",우리동네 근대문화유산 지도그리기,,,,
11517,4,답사 및 탐방(뚜벅이 장선생의 명탄서원 숨은역사 탐방),답사 및 탐방,20241206,20241206,공주이씨충절사수호위원회문중,010-4592-3942,"익산, 충남일원",,시민(회당 20명내외),무료,,충청남도,공주시,"12월 3일, 12월 6일, 12월 9일(총 3회)/08:00-18:00)",답사 및 탐방(뚜벅이 장선생의 명탄서원 숨은역사 탐방),,,,
11529,4,"상시프로그램 - 열린서원, 묵계서원",서원을 도서관 시설 및 체험존으로 만들어 누구나 친근하게 올 수 있는 열린 서원으로 조성,20241206,20241206,사단법인 미래문화재단,054-841-2433,"묵계서원, 보백당 종택, 만휴정",,전국민&외국인,무료,,경상북도,안동시,"12월 1일 ~ 12월 31일 매주 금, 토, 일 / 9시 ~ 18시","상시프로그램 - 열린서원, 묵계서원",,,,
11524,4,유생의 뜰 1형,"임실여성유림, 임실군민, 전북특별자치도민이 참여하여 규방공예품을 만듦, 동시에 방문객이 있을 때, 임실향교를 소개함",20241206,20241206,(재)문화재아웃리치연구소,063-243-3274,임실향교 명륜당 및 서재,,"임실여성유림,전주,김제여성",무료,,전라북도,임실군,12월06일(1회)/ 9시~11시,유생의 뜰 1형,,,,
11502,2,조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,300년의 역사를 지닌 국가무형문화재 사기장 김정옥 가문의 역사와 그들이 가진 문화유산에 대해 ICT 실감콘텐츠 연계 상설 전시를 통해 효율적으로 교육 할 수있는 프로그램,20241206,20241206,㈜백산헤리티지,010-3794-5324,문경 국가무형문화재전수관,,일반인,무료,,경상북도,문경시,"12월 1일부터 12월 31일까지 매 주 화요일, 수요일, 목요일, 금요일, 토요일, 일요일 운영 (총 200회) / 09:00 ~ 18:00",조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,,,,
11535,4,육기예융합체험교육,"향교의 육예(육기예) 교육과정을 응용하여 유교와 사천향교, 국궁, 승마, 예절, 다례 체험을 실시",20241206,20241206,(재)경남향교재단사천향교,055-852-1702,사천향교,,"유초중고등학생, 단체",무료,,경상남도,사천시,"12월 2일, 12월3일, 12월4일, 12월6일(총4회)/9시~12시30분",육기예융합체험교육,,,,
11540,4,소학반 강좌운영,소학공부를 함,20241206,20241206,창녕향교,055-532-0217,유림회관,,일반인,무료,,경상남도,창녕군,"12월 6일, 13일, 20일 (금) 10시~12시 (총3회)",소학반 강좌운영,,,,
11508,4,선비들의 문화 나들이,"향교 서원에서 예술과 함께 보내는 문화향유 프로그램/목요생활공예, 금요캘리그라피,토요선비들의문화나들이",20241207,20241207,통합문화예술교육바로,070-8065-4166,구강서원,cafe.naver.com/artbaro,"65세 이상 어르신,장애인, 다문화가정,임산부,직장 근로자,경력단절여성 등(회당15명내외)",무료,,울산광역시,중구,"12월5일(목요일), 12월7일, 12월14일, 12월21일(토요일)/(총4회)/10시~12시",선비들의 문화 나들이,,,,
11520,4,은행나무에 깃든 바람,기후변화 대응을 위한 생활속 환경체험과 환경콘서트,20241207,20241207,주식회사 말랑말랑한생각,010-4214-4268,은행나무주변,,일반인,무료,,충청남도,서산시,12월 7일(토) 오후 2시 ~ 4시,은행나무에 깃든 바람,,,,
11527,4,2024 희양문헌집<기별(奇別)하다>,"희양10경을 강독하고, 참여자의 이야기를 담은 2024 희양문헌집 만들기 프로그램",20241207,20241207,광양향교,070-4258-2425,광양향교,,광양시민 및 관광객,무료,,전라남도,광양시,"12월01일~12월14일 매주 토요일,일요일(총4회) / 10:00~12:00",2024 희양문헌집<기별(奇別)하다>,,,,
11502,2,조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,300년의 역사를 지닌 국가무형문화재 사기장 김정옥 가문의 역사와 그들이 가진 문화유산에 대해 ICT 실감콘텐츠 연계 상설 전시를 통해 효율적으로 교육 할 수있는 프로그램,20241207,20241207,㈜백산헤리티지,010-3794-5324,문경 국가무형문화재전수관,,일반인,무료,,경상북도,문경시,"12월 1일부터 12월 31일까지 매 주 화요일, 수요일, 목요일, 금요일, 토요일, 일요일 운영 (총 200회) / 09:00 ~ 18:00",조선백자 실감 공방과 달항아리 디지털 캠퍼스 (1) 가족 친화·치유 문화유산 실감(ICT) 1박 2일 캠퍼스,,,,
11529,4,"상시프로그램 - 열린서원, 묵계서원",서원을 도서관 시설 및 체험존으로 만들어 누구나 친근하게 올 수 있는 열린 서원으로 조성,20241207,20241207,사단법인 미래문화재단,054-841-2433,"묵계서원, 보백당 종택, 만휴정",,전국민&외국인,무료,,경상북도,안동시,"12월 1일 ~ 12월 31일 매주 금, 토, 일 / 9시 ~ 18시","상시프로그램 - 열린서원, 묵계서원",,,,
11479,9,"옛집, 선비의 하루를 보내다",충청도 명문 선비가에서 전승되어 온 가승문화를 체험하는 1박2일형 프로그램,20241207,20241208,명재고택,041-735-1215,명재고택,,일반인30명,유료(숙박비7만원),,충청남도,논산시,12월 7~8일,"옛집, 선비의 하루를 보내다",,,,
11542,4,향교사랑방,전통차체험,20241207,20241207,창녕향교,055-532-0217,창녕향교 동재 서재,,일반인,무료,,경상남도,창녕군,"12월 7일, 8일, 14일, 15일, 21일, 22일 매주 토,일 13시~18시 (총6회)",향교사랑방,,,,
11481,9,추사파노라마,"추사의 삶과 예술에 대한 이해와, 문화유산의 가치를 알게하는 지역주민프로그램",20241207,20241207,협동조합추사라이브러리,041-332-2003,추사김정희고택,,예산군주민(회당20명),무료(지역주민프로그램),,충청남도,예산군,"12월 1, 7, 8일 (총3회) / 13~16시",추사파노라마,,,,
11482,9,나눔의 곳간을 열다.,고택의 내력과 역사 소개 및 소장유물 전시설명 및 탐방,20241207,20241207,사)경주최부자선양회,054)774-0202,경주최부자댁,,관광객 회당 500명,무료,,경상북도,경주시,"12월 7일, 14일, 21일 (총3회) / 11:00~15:00",나눔의 곳간을 열다.,,,,
11541,4,서예반 강좌운영,서예역공부를 함,20241207,20241207,창녕향교,055-532-0217,유림회관,,일반인,무료,,경상남도,창녕군,"12월 7일, 14일, 21일 (토) 10시~12시 (총3회)",서예반 강좌운영,,,,
11483,9,종부들의 하루,종가의 내림문화를 토대로 한 김장 체험 프로그램,20241207,20241207,문화나눔,010-3883-2939,손대식고가,,"지역민,관광객(20명 내외)",유료(재료비 5만원),,경상남도,밀양시,12월 7일(총1회) / 14시~16시,종부들의 하루,,,,
11486,2,특명! 비밀결사의 단원이 되어라,"비밀결사 조직하기, 독립군 비밀지령 체험, 독립운동가 묘역 답사, 보드게임 등",20241207,20241207,중랑문화유산,010-8465-1945,망우역사문화공원(오재영 묘소 등),https://cafe.naver.com/jnsangsang,초등(3~4학년) 가족 30명,"유료(1인당 1,000원 이상 자율기부금)",,서울특별시,중랑구,"12월 7일(하루 2회) / 10시~12시30분, 14시~16시30분",특명! 비밀결사의 단원이 되어라,,,,
11492,2,온고easy食,"평화를 기원하는 가문의 술, 마을 특산물 음식 배우기",20241207,20241207,청주역사문화학교,043-266-1125,비중리 마을 일대,,시민 20명 내외,유료,,충청북도,청주시,12월 7일(총1회)/10시~13시,온고easy食,,,,
11493,2,가림성 숲에 깃든 황금새,기후변화 대응과 문화유산 보존을 위한 플로깅 및 환경콘서트,20241207,20241207,부여미래유산,010-4214-4268,가림성 등산로,황금새.COM,"지역민(일반인, 청소년, 어린이)",무료,,충청남도,부여군,12월 7일(토) 오후 2시 ~ 4시,가림성 숲에 깃든 황금새,,,,
11533,4,도계문화교실,문화예술체험프로그램,20241207,20241207,문화공간 도계,010.3629.4720,도계서원,https://www.instagram.com/dogye_culturalplace?igsh=MTF4b2xya3F5anR0bA==,성인,유료(1인5천원),,경상북도,안동시,"12월7일~12월15일까지 매주 토,일요일(총4회)/ 13시~16시",도계문화교실,,,,
11515,4,명탄서원 공주를 추로지향으로꿈꾸다,인문학강좌,20241207,20241207,공주이씨충절사수호위원회문중,010-4592-3942,명탄서원대강당 및 혜의당,,"학생,시민,사회적약자 20명내외",무료,,충청남도,공주시,"12월 7일, 12월 8일, 12일 14일, 12월 15일(총 4회)/14:00-16:00",명탄서원 공주를 추로지향으로꿈꾸다,,,,
11533,4,도계문화교실,문화예술체험프로그램,20241208,20241208,문화공간 도계,010.3629.4720,도계서원,https://www.instagram.com/dogye_culturalplace?igsh=MTF4b2xya3F5anR0bA==,성인,유료(1인5천원),,경상북도,안동시,"12월7일~12월15일까지 매주 토,일요일(총4회)/ 13시~16시",도계문화교실,,,,
11515,4,명탄서원 공주를 추로지향으로꿈꾸다,인문학강좌,20241208,20241208,공주이씨충절사수호위원회문중,010-4592-3942,명탄서원대강당 및 혜의당,,"학생,시민,사회적약자 20명내외",무료,,충청남도,공주시,"12월 7일, 12월 8일, 12일 14일, 12월 15일(총 4회)/14:00-16:00",명탄서원 공주를 추로지향으로꿈꾸다,,,,
11475,9,고헌고택에서 만나자,독립운동가의 옷을 입고 전략적 독립운동가 박상진에 대한 역사스토리 프로그램,20241208,20241208,울산북구문화원(박상진의사 역사공원 역사문화센터),052)296-1411,박상진의사생가,https://psjpark.modoo.at/,6세이상 가족단위 일반인,무료,,울산광역시,북구,"12월 1일, 8일(총2회)/ 10시~11시",고헌고택에서 만나자,,,,
11476,9,박상진을 꿈꾸고 꿈먹고,지역의 곡물을 이용한 곡물먹거리 개발 및 연구와 플리마켓 진행,20241208,20241208,울산북구문화원(박상진의사 역사공원 역사문화센터),052)296-1411,교육장,https://psjpark.modoo.at/,6세이상 가족단위 일반인,무료,,울산광역시,북구,"12월 1일, 8일(총2회)/ 12시~13시",박상진을 꿈꾸고 꿈먹고,,,,
